number of goals,team,month,day,hour,day of week,possession,possession in contest,total attempts,conceded,goal inside the penalty area,goal outside the penalty area,assists,on target attempts,off target attempts,attempts inside the penalty area,attempts outside the penalty area,left channel,left inside channel,central channel,right inside channel,right channel,total offers to receive,inbehind offers to receive,inbetween offers to receive,infront offers to receive,receptions between midfield and defensive lines,attempted line breaks,completed line breaks,attempted defensive line breaks,completed defensive line breaks,yellow cards,red cards,fouls against,offsides,passes,passes completed,crosses,crosses completed,switches of play completed,corners,free kicks,penalties scored,goal preventions,own goals,forced turnovers,defensive pressures applied
0,IRAN,11,29,20,1,0.33,0.16,21.0,0.0,1.0,1.0,1.0,6.0,6.0,7.0,14.0,7.0,3.0,7.0,4.0,7.0,343.0,109.0,149.0,85.0,9.0,185.0,92.0,24.0,10.0,2.0,0.0,10.0,2.0,295.0,202.0,26.0,4.0,5.0,7.0,11.0,0.0,9.0,0.0,84.0,276.0
1,UNITED STATES,11,29,20,1,0.4,0.09,10.0,0.0,0.0,0.0,0.0,2.0,7.0,6.0,4.0,12.0,0.0,1.0,6.0,8.0,539.0,129.0,238.0,172.0,6.0,143.0,88.0,15.0,5.0,0.0,0.0,15.0,0.0,427.0,368.0,16.0,2.0,2.0,7.0,10.0,0.0,8.0,0.0,61.0,350.0
1,AUSTRALIA,11,30,16,2,0.31,0.19,8.0,0.0,1.0,0.0,1.0,2.0,3.0,5.0,3.0,11.0,3.0,4.0,7.0,19.0,342.0,108.0,120.0,114.0,8.0,171.0,91.0,19.0,10.0,0.0,0.0,15.0,0.0,334.0,239.0,23.0,4.0,2.0,2.0,19.0,0.0,13.0,0.0,88.0,273.0
0,DENMARK,11,30,16,2,0.44,0.12,10.0,2.0,1.0,0.0,1.0,2.0,6.0,5.0,5.0,13.0,5.0,3.0,4.0,25.0,615.0,171.0,268.0,176.0,17.0,173.0,132.0,23.0,15.0,2.0,0.0,9.0,1.0,537.0,473.0,18.0,4.0,14.0,4.0,5.0,0.0,21.0,0.0,61.0,282.0
0,FRANCE,11,30,16,2,0.44,0.12,21.0,1.0,2.0,0.0,2.0,6.0,8.0,0.0,5.0,15.0,7.0,4.0,1.0,13.0,630.0,111.0,226.0,293.0,11.0,155.0,0.0,16.0,0.0,1.0,0.0,4.0,1.0,503.0,437.0,23.0,12.0,7.0,6.0,10.0,0.0,10.0,0.0,79.0,269.0
1,TUNISIA,11,30,16,2,0.5,0.19,13.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0,4.0,12.0,8.0,7.0,6.0,11.0,710.0,166.0,291.0,253.0,13.0,200.0,0.0,23.0,0.0,3.0,0.0,16.0,3.0,501.0,396.0,23.0,5.0,6.0,5.0,15.0,0.0,9.0,0.0,81.0,217.0
2,ARGENTINA,11,30,20,2,0.5,0.14,5.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0,3.0,10.0,6.0,2.0,4.0,12.0,569.0,103.0,244.0,222.0,2.0,150.0,0.0,10.0,0.0,1.0,0.0,15.0,2.0,533.0,464.0,14.0,2.0,3.0,4.0,23.0,0.0,4.0,0.0,63.0,220.0
0,POLAND,11,30,20,2,0.3,0.14,8.0,0.0,2.0,0.0,1.0,3.0,3.0,0.0,0.0,7.0,2.0,4.0,8.0,13.0,428.0,140.0,164.0,124.0,14.0,150.0,0.0,22.0,0.0,3.0,0.0,18.0,0.0,303.0,236.0,19.0,8.0,5.0,4.0,15.0,0.0,16.0,0.0,69.0,329.0
1,SAUDI ARABIA,11,30,20,2,0.57,0.14,16.0,2.0,0.0,0.0,0.0,5.0,9.0,9.0,7.0,21.0,6.0,5.0,7.0,15.0,661.0,156.0,264.0,241.0,22.0,205.0,153.0,27.0,19.0,2.0,0.0,15.0,0.0,560.0,494.0,24.0,4.0,13.0,5.0,17.0,0.0,9.0,0.0,53.0,173.0
2,MEXICO,11,30,20,2,0.36,0.14,4.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,8.0,1.0,1.0,2.0,11.0,373.0,78.0,151.0,144.0,5.0,127.0,66.0,13.0,5.0,4.0,0.0,19.0,4.0,356.0,287.0,17.0,4.0,2.0,2.0,17.0,0.0,5.0,0.0,79.0,327.0
0,CROATIA,12,1,16,3,0.41,0.13,13.0,1.0,3.0,1.0,4.0,10.0,2.0,0.0,4.0,7.0,3.0,3.0,3.0,3.0,573.0,113.0,256.0,204.0,15.0,193.0,0.0,24.0,0.0,2.0,0.0,13.0,1.0,462.0,391.0,22.0,5.0,6.0,5.0,8.0,0.0,9.0,0.0,87.0,347.0
0,BELGIUM,12,1,16,3,0.56,0.12,10.0,2.0,0.0,0.0,0.0,4.0,6.0,0.0,5.0,12.0,8.0,3.0,4.0,9.0,732.0,144.0,211.0,377.0,4.0,149.0,0.0,13.0,0.0,1.0,0.0,10.0,3.0,671.0,598.0,19.0,3.0,6.0,9.0,17.0,0.0,11.0,0.0,38.0,194.0
2,MOROCCO,12,1,16,3,0.32,0.12,11.0,0.0,2.0,0.0,2.0,4.0,6.0,6.0,5.0,10.0,3.0,2.0,1.0,11.0,441.0,109.0,173.0,159.0,7.0,125.0,89.0,11.0,8.0,1.0,0.0,14.0,3.0,317.0,275.0,9.0,4.0,10.0,1.0,13.0,0.0,10.0,0.0,78.0,360.0
1,CANADA,12,1,16,3,0.46,0.13,9.0,4.0,1.0,0.0,1.0,2.0,3.0,2.0,7.0,8.0,4.0,3.0,4.0,13.0,592.0,121.0,247.0,224.0,6.0,201.0,134.0,15.0,6.0,2.0,0.0,5.0,3.0,511.0,434.0,15.0,5.0,7.0,2.0,14.0,0.0,13.0,0.0,72.0,316.0
1,SPAIN,12,1,20,3,0.56,0.11,7.0,1.0,1.0,0.0,1.0,3.0,4.0,0.0,4.0,12.0,3.0,2.0,1.0,5.0,633.0,90.0,270.0,273.0,16.0,186.0,0.0,19.0,0.0,1.0,0.0,13.0,2.0,647.0,565.0,9.0,2.0,9.0,6.0,16.0,0.0,11.0,0.0,79.0,275.0
2,JAPAN,12,1,20,3,0.48,0.13,14.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,7.0,28.0,6.0,9.0,3.0,10.0,699.0,176.0,255.0,268.0,5.0,158.0,0.0,22.0,0.0,3.0,0.0,22.0,0.0,575.0,510.0,17.0,1.0,2.0,5.0,11.0,0.0,4.0,0.0,47.0,300.0
2,COSTA RICA,12,1,20,3,0.39,0.13,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,8.0,0.0,3.0,1.0,4.0,429.0,77.0,177.0,175.0,1.0,154.0,85.0,4.0,0.0,3.0,0.0,9.0,2.0,444.0,371.0,5.0,0.0,7.0,0.0,22.0,0.0,14.0,0.0,66.0,294.0
4,GERMANY,12,1,20,3,0.33,0.11,10.0,1.0,1.0,0.0,1.0,4.0,5.0,7.0,3.0,3.0,3.0,4.0,3.0,8.0,440.0,108.0,177.0,155.0,9.0,143.0,83.0,17.0,7.0,3.0,0.0,11.0,5.0,352.0,281.0,13.0,1.0,2.0,5.0,15.0,0.0,7.0,0.0,101.0,387.0
0,GHANA,12,2,16,4,0.32,0.15,8.0,2.0,3.0,0.0,2.0,3.0,3.0,7.0,1.0,8.0,3.0,4.0,3.0,7.0,389.0,72.0,157.0,160.0,5.0,122.0,66.0,12.0,5.0,2.0,0.0,9.0,1.0,319.0,260.0,13.0,4.0,3.0,5.0,14.0,0.0,21.0,0.0,75.0,324.0
2,URUGUAY,12,2,16,4,0.35,0.12,10.0,2.0,0.0,0.0,0.0,3.0,6.0,6.0,4.0,13.0,8.0,4.0,5.0,9.0,413.0,115.0,155.0,143.0,6.0,150.0,86.0,17.0,11.0,2.0,0.0,16.0,0.0,390.0,306.0,18.0,5.0,2.0,2.0,13.0,0.0,14.0,0.0,81.0,362.0
2,KOREA REPUBLIC,12,2,16,4,0.53,0.15,21.0,3.0,2.0,0.0,2.0,6.0,8.0,0.0,6.0,22.0,5.0,6.0,8.0,27.0,695.0,175.0,234.0,286.0,19.0,201.0,0.0,24.0,0.0,2.0,0.0,13.0,1.0,540.0,477.0,46.0,16.0,16.0,12.0,10.0,0.0,8.0,0.0,53.0,220.0
1,PORTUGAL,12,2,16,4,0.53,0.12,14.0,0.0,1.0,1.0,0.0,4.0,7.0,0.0,10.0,17.0,9.0,4.0,9.0,11.0,752.0,142.0,327.0,283.0,11.0,170.0,0.0,11.0,0.0,3.0,0.0,10.0,2.0,596.0,517.0,16.0,4.0,9.0,6.0,15.0,1.0,11.0,0.0,68.0,226.0
2,SERBIA,12,2,20,4,0.49,0.13,16.0,3.0,2.0,1.0,3.0,6.0,8.0,11.0,5.0,20.0,4.0,16.0,5.0,12.0,583.0,124.0,261.0,198.0,11.0,184.0,122.0,22.0,12.0,2.0,0.0,13.0,4.0,513.0,433.0,23.0,4.0,5.0,3.0,8.0,0.0,13.0,0.0,81.0,234.0
3,SWITZERLAND,12,2,20,4,0.4,0.09,4.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,7.0,3.0,4.0,6.0,10.0,568.0,128.0,212.0,228.0,4.0,173.0,100.0,17.0,4.0,1.0,0.0,17.0,1.0,488.0,415.0,11.0,3.0,2.0,3.0,13.0,0.0,9.0,0.0,80.0,344.0
